STATE,Accident on BRIDGE,TOTAL KILLED ON BRIDGE,Accident on CULVERT,TOTAL KILLED IN CULVERT,Accident by POT HOLES,TOTAL KILLED BY POT HOLES,Accident by STEEP GRADE,TOTAL KILLED BY STEEP GRADE,Accident by ONGOING ROAD WORK,TOTAL KILLED DURING CONSTRUCTION
Andhra pradesh,716,268,291,121,9512,32,48,15,285,96
Arunachal pradesh,36,15,27,13,322,6,20,13,30,19
ASSAM,705,229,454,119,0,93,189,63,392,123
BIHAR,261,178,311,206,77,0,142,102,18,16
CHATTISGARH,357,158,292,143,5,28,88,24,233,84
GOA,15,1,13,0,5,1,0,0,0,0
GUJARAT,546,270,273,135,61,5,204,117,206,102
HARYANA,408,216,296,150,21,20,161,88,300,151
HIMACHAL PRADESH,38,20,0,0,1,16,114,54,42,19
JAMMU KASHMIR,28,5,17,5,120,0,33,9,52,17
JHARKHAND,273,184,191,117,113,94,132,95,88,53
KARNATAKA,1259,327,76,12,57,38,117,38,426,144
KERALA,358,41,116,17,339,7,60,11,170,28
MADHYA PRADESH,1201,224,1122,279,181,91,959,136,2253,317
MAHARASHTRA,810,321,538,213,2,72,898,361,829,341
MANIPUR,30,7,25,5,2,0,0,0,5,2
MEGHALAYA,9,4,3,0,0,2,1,0,0,0
MIZORAM,0,0,0,0,14,0,3,3,1,1
NAGALAND,0,0,60,3,218,0,19,0,112,9
ODISHA,383,193,364,162,102,117,61,33,569,286
PUNJAB,414,267,436,242,92,245,137,53,442,281
RAJASTHAN,157,58,122,44,7,34,46,23,252,126
SIKKIM,1,2,0,0,502,1,10,4,7,4
TAMIL NADU,2394,544,1236,180,146,93,506,87,645,73
TELANGANA,570,176,396,163,0,49,50,16,353,90
TRIPURA,28,11,12,5,26,0,0,0,0,0
UTTARAKHAND,22,23,15,7,2122,15,12,8,27,34
UTTAR PRADESH,2991,1576,2496,1205,61,1034,1581,797,3434,1858
WEST BENGAL,250,142,151,89,0,31,15,5,258,142
ANDAMAN AND NICOBAR,2,0,5,2,0,0,10,1,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0
DADRA AND NAGAR HAVELI,1,2,0,0,0,0,0,0,0,0
DAMAN AND DIU,7,4,0,0,0,0,0,0,0,0
DELHI,256,72,38,4,72,16,13,3,154,39
LAKSHDWEEP,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,141,15,0,0,0,0,2,1,0,0
